"","groupName","activeTouch","timeStamp","C"
"601","A",0,"6/6/16 23:09",0
"602","A",0,"6/6/16 23:16",0
"603","A",0,"6/6/16 23:21",0
"604","B",0,"6/6/16 23:43",0
"605","B",0,"6/6/16 23:45",0
"606","A",0,"6/7/16 0:05",0
"607","A",0,"6/7/16 0:07",0
"608","A",0,"6/7/16 0:16",0
"609","B",0,"6/7/16 0:35",1
"610","B",0,"6/7/16 0:43",0
"611","B",0,"6/7/16 0:51",0
"612","A",0,"6/7/16 0:57",0
"613","B",0,"6/7/16 1:34",0
"614","A",0,"6/7/16 1:35",0
"615","A",0,"6/7/16 2:37",0
"616","B",0,"6/7/16 3:05",0
"617","B",0,"6/7/16 3:22",0
"618","A",0,"6/7/16 3:51",0
"619","B",0,"6/7/16 4:46",0
"620","A",0,"6/7/16 7:36",0
"621","B",0,"6/7/16 9:08",0
"622","B",0,"6/7/16 9:38",0
"623","B",0,"6/7/16 9:52",0
"624","B",0,"6/7/16 10:11",0
"625","B",0,"6/7/16 10:12",0
"626","B",0,"6/7/16 10:33",0
"627","A",0,"6/7/16 10:57",0
"628","B",0,"6/7/16 11:08",0
"629","B",0,"6/7/16 11:16",0
"630","B",0,"6/7/16 11:20",0
"631","B",0,"6/7/16 11:28",0
"632","B",0,"6/7/16 11:33",0
"633","A",0,"6/7/16 11:37",0
"634","A",0,"6/7/16 11:43",0
"635","B",0,"6/7/16 11:43",0
"636","A",0,"6/7/16 11:55",0
"637","B",1,"6/7/16 11:58",0
"638","B",0,"6/7/16 12:02",0
"639","A",1,"6/7/16 12:14",0
"640","B",0,"6/7/16 12:16",0
"641","B",0,"6/7/16 12:17",0
"642","A",0,"6/7/16 12:18",0
"643","A",0,"6/7/16 12:20",0
"644","B",0,"6/7/16 12:20",0
"645","B",0,"6/7/16 12:30",0
"646","B",0,"6/7/16 12:36",0
"647","B",1,"6/7/16 12:38",0
"648","A",0,"6/7/16 12:58",0
"649","A",0,"6/7/16 13:00",0
"650","B",1,"6/7/16 13:03",0
"651","A",0,"6/7/16 13:08",0
"652","A",0,"6/7/16 13:11",0
"653","B",0,"6/7/16 13:16",0
"654","A",0,"6/7/16 13:20",0
"655","B",0,"6/7/16 13:27",0
"656","B",1,"6/7/16 13:50",0
"657","B",0,"6/7/16 14:19",0
"658","B",0,"6/7/16 14:22",0
"659","A",0,"6/7/16 14:26",0
"660","B",0,"6/7/16 14:27",0
"661","B",0,"6/7/16 14:33",0
"662","A",0,"6/7/16 14:33",0
"663","B",0,"6/7/16 14:40",1
"664","B",0,"6/7/16 14:43",1
"665","A",0,"6/7/16 14:44",0
"666","B",0,"6/7/16 15:04",0
"667","B",0,"6/7/16 15:14",0
"668","A",0,"6/7/16 15:20",0
"669","B",0,"6/7/16 15:28",0
"670","A",0,"6/7/16 15:41",1
"671","A",0,"6/7/16 15:44",0
"672","B",0,"6/7/16 16:13",0
"673","A",0,"6/7/16 16:27",0
"674","B",0,"6/7/16 16:36",0
"675","B",0,"6/7/16 16:52",0
"676","A",0,"6/7/16 16:59",0
"677","B",0,"6/7/16 17:19",0
"678","B",0,"6/7/16 17:23",0
"679","B",0,"6/7/16 17:24",0
"680","B",0,"6/7/16 17:27",0
"681","B",0,"6/7/16 17:35",0
"682","A",0,"6/7/16 18:07",0
"683","A",0,"6/7/16 18:15",0
"684","A",0,"6/7/16 18:22",0
"685","A",0,"6/7/16 18:27",0
"686","B",0,"6/7/16 18:30",0
"687","B",0,"6/7/16 18:32",0
"688","B",0,"6/7/16 18:37",0
"689","A",0,"6/7/16 18:50",0
"690","A",0,"6/7/16 18:53",1
"691","B",0,"6/7/16 19:16",0
"692","B",0,"6/7/16 19:18",0
"693","A",0,"6/7/16 19:26",0
